mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
256.1339941620827,1.2188574813201025,0.46402817964553833,0.0034326904897352627,1.0,100,1,3,0.5,1.0,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'gamma': 0.5, 'colsample_bytree': 1.0}",0.6203563877982483,0.6167698580489278,0.6139006342494715,0.615410752038659,0.6166094080338267,0.0023895519021299985,42
156.36634069681168,0.6272903731747141,0.42488783597946167,0.0067277906957611475,0.6,50,1,4,1.5,0.8,"{'subsample': 0.6, 'n_estimators': 50, 'min_child_weight': 1, 'max_depth': 4, 'gamma': 1.5, 'colsample_bytree': 0.8}",0.6197145877378436,0.618808517064331,0.615901540320145,0.6163545756569012,0.6176948051948052,0.0016071628553483502,38
366.2527816295624,0.8757425149449627,0.5484421253204346,0.007137508308176356,0.8,100,1,4,1,1.0,"{'subsample': 0.8, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 4, 'gamma': 1, 'colsample_bytree': 1.0}",0.6293038356991846,0.6270386590154032,0.6232256115977046,0.622093023255814,0.6254152823920266,0.002897769074632675,25
384.03735649585724,1.592538431225194,0.6321637034416199,0.015556817764864976,0.6,100,5,5,0.5,0.8,"{'subsample': 0.6, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 5, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.640176683781335,0.6398369072787677,0.6344759891271519,0.6361748716399879,0.6376661129568106,0.002419504317352525,6
138.04542410373688,0.7078630073073989,0.36987757682800293,0.004669405907561489,0.8,50,10,3,1,1.0,"{'subsample': 0.8, 'n_estimators': 50, 'min_child_weight': 10, 'max_depth': 3, 'gamma': 1, 'colsample_bytree': 1.0}",0.6124282694050136,0.602914527333132,0.6065388100271821,0.6077469042585322,0.607407127755965,0.003400909649228615,59
297.5585763454437,1.803706084848771,0.6633769869804382,0.004006092938678094,0.6,100,5,5,2,0.6,"{'subsample': 0.6, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 5, 'gamma': 2, 'colsample_bytree': 0.6}",0.641498036846874,0.6407052250075506,0.6361371186952582,0.6388930836605256,0.639308366052552,0.0020600450476831998,1
205.23465728759766,0.6856274317623777,0.42521965503692627,0.0026988718538916334,0.8,75,5,3,5,1.0,"{'subsample': 0.8, 'n_estimators': 75, 'min_child_weight': 5, 'max_depth': 3, 'gamma': 5, 'colsample_bytree': 1.0}",0.6157882814859559,0.6098988221081244,0.6105783751132589,0.6138628813047418,0.6125320900030202,0.0024044172963030327,54
285.1593282818794,1.2343171901559715,0.48295801877975464,0.006781093274573753,0.6,75,5,4,2,1.0,"{'subsample': 0.6, 'n_estimators': 75, 'min_child_weight': 5, 'max_depth': 4, 'gamma': 2, 'colsample_bytree': 1.0}",0.6213002114164905,0.6188462700090607,0.6161658109332528,0.616014799154334,0.6180817728782845,0.0021729066384388153,36
348.24809724092484,0.8865457179591957,0.5281944870948792,0.007537906388484846,0.8,75,5,5,1.5,1.0,"{'subsample': 0.8, 'n_estimators': 75, 'min_child_weight': 5, 'max_depth': 5, 'gamma': 1.5, 'colsample_bytree': 1.0}",0.6346270009060707,0.633607671398369,0.6270764119601329,0.629492600422833,0.6312009211718514,0.0030602452931566227,13
378.0756068825722,1.5065999033452007,0.5494205355644226,0.003909308507877836,0.6,100,10,4,2,1.0,"{'subsample': 0.6, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 4, 'gamma': 2, 'colsample_bytree': 1.0}",0.6290773180308064,0.6275294472968892,0.6231878586529749,0.6239429175475687,0.6259343853820598,0.0024459967986532015,24
