mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_num_leaves,param_n_estimators,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
38.649608969688416,2.2055679668362207,0.7557798027992249,0.004201437167612992,0.85,16,75,0.6,"{'subsample': 0.85, 'num_leaves': 16, 'n_estimators': 75, 'colsample_bytree': 0.6}",0.6378737541528239,0.6486710963455149,0.6488976140138931,0.6225083056478405,0.6394876925400181,0.010767844537687398,40
41.0643110871315,8.34841155053509,0.8444422483444214,0.01571707899018169,0.8,15,100,0.6,"{'subsample': 0.8, 'num_leaves': 15, 'n_estimators': 100, 'colsample_bytree': 0.6}",0.6402521896707943,0.6539187556629417,0.6528239202657807,0.6133343400785262,0.6400823014195107,0.016349912956732444,34
48.99154740571976,3.744857825030187,0.8402708172798157,0.01793983015378996,0.85,14,100,0.8,"{'subsample': 0.85, 'num_leaves': 14, 'n_estimators': 100, 'colsample_bytree': 0.8}",0.6393838719420115,0.6518800966475385,0.6531259438236182,0.6240939293264874,0.642120960434914,0.011713410082085122,23
51.43923485279083,3.8177894824667264,0.9036762714385986,0.03830428560322595,0.85,16,100,0.6,"{'subsample': 0.85, 'num_leaves': 16, 'n_estimators': 100, 'colsample_bytree': 0.6}",0.6410450015101178,0.6527484143763214,0.6541830262760495,0.6148822108124433,0.6407146632437329,0.01576096991841257,32
43.46693158149719,1.9900620836095209,0.7117559313774109,0.024094756124412295,0.85,16,75,0.8,"{'subsample': 0.85, 'num_leaves': 16, 'n_estimators': 75, 'colsample_bytree': 0.8}",0.6381380247659317,0.6476517668378133,0.648293566898218,0.6226593174267593,0.6391856689821805,0.010354304316168766,45
41.506241261959076,2.836961458407741,0.7184768915176392,0.005226962805132302,0.85,16,75,0.85,"{'subsample': 0.85, 'num_leaves': 16, 'n_estimators': 75, 'colsample_bytree': 0.85}",0.637987012987013,0.6496904258532166,0.6485578375113259,0.6223950468136514,0.6396575807913016,0.01096196179792857,37
61.25790846347809,2.543771268011107,1.0218828320503235,0.012183605856242874,0.75,16,125,0.7,"{'subsample': 0.75, 'num_leaves': 16, 'n_estimators': 125, 'colsample_bytree': 0.7}",0.645764119601329,0.656183932346723,0.6587511325883418,0.6103518574448807,0.6427627604953186,0.01933410645128194,12
36.90150439739227,3.4288034349916603,0.7526379227638245,0.031030218790970926,0.75,16,75,0.7,"{'subsample': 0.75, 'num_leaves': 16, 'n_estimators': 75, 'colsample_bytree': 0.7}",0.639195107218363,0.6478782845061914,0.6484445786771368,0.6217154938085171,0.6393083660525521,0.010798563154213018,43
46.5313406586647,1.815750653747869,0.8623597025871277,0.01415002401865289,0.8,14,100,0.6,"{'subsample': 0.8, 'num_leaves': 14, 'n_estimators': 100, 'colsample_bytree': 0.6}",0.6402144367260646,0.6533147085472667,0.6520311084264573,0.6159392932648746,0.6403748867411658,0.015003586780302017,33
68.50195688009262,3.967688350314041,0.9730675220489502,0.02099900502023537,0.85,15,125,0.85,"{'subsample': 0.85, 'num_leaves': 15, 'n_estimators': 125, 'colsample_bytree': 0.85}",0.6444427665357898,0.6567124735729387,0.6575807913017215,0.6132588341890668,0.6429987163998792,0.017939132636171414,7
52.84671676158905,0.49763115957547815,0.8386753797531128,0.018004736255601818,0.75,16,100,0.85,"{'subsample': 0.75, 'num_leaves': 16, 'n_estimators': 100, 'colsample_bytree': 0.85}",0.6420643310178193,0.6545228027786167,0.6546738145575355,0.6263591060102688,0.6444050135910601,0.011607664565450475,1
41.03910171985626,1.2366505215534689,0.6801121830940247,0.03268535456076867,0.75,16,75,0.8,"{'subsample': 0.75, 'num_leaves': 16, 'n_estimators': 75, 'colsample_bytree': 0.8}",0.6387798248263364,0.6497659317426759,0.6488221081244337,0.6217532467532467,0.6397802778616732,0.011263244812129496,36
41.925521433353424,1.8561963467382492,0.675757110118866,0.014549168827063435,0.85,14,75,0.85,"{'subsample': 0.85, 'num_leaves': 14, 'n_estimators': 75, 'colsample_bytree': 0.85}",0.6350045303533676,0.6465569314406524,0.6477272727272727,0.6223572938689218,0.6379115070975536,0.010264948610718945,57
40.529266357421875,0.4057264510459183,0.6983200907707214,0.01564612965274314,0.8,16,75,0.7,"{'subsample': 0.8, 'num_leaves': 16, 'n_estimators': 75, 'colsample_bytree': 0.7}",0.637496224705527,0.6489353669586228,0.6491241316822712,0.6230745998187859,0.6396575807913016,0.010669578482796156,37
64.1832087635994,2.231982964593384,0.967685341835022,0.01824789332489519,0.85,14,125,0.8,"{'subsample': 0.85, 'num_leaves': 14, 'n_estimators': 125, 'colsample_bytree': 0.8}",0.6433479311386288,0.6559951676230746,0.6573542736333434,0.6137873754152824,0.6426211869525823,0.01752030284411492,15
37.99985611438751,1.4223583363721104,0.7107976078987122,0.025033529612071826,0.75,15,75,0.7,"{'subsample': 0.75, 'num_leaves': 15, 'n_estimators': 75, 'colsample_bytree': 0.7}",0.6370809423135004,0.6479915433403806,0.6480670492298399,0.6204318936877077,0.6383928571428572,0.011292055813835092,52
65.13244163990021,2.1277579149649957,1.0206040143966675,0.029939258059042073,0.85,16,125,0.6,"{'subsample': 0.85, 'num_leaves': 16, 'n_estimators': 125, 'colsample_bytree': 0.6}",0.643083660525521,0.6558441558441559,0.6576940501359106,0.6063877982482634,0.6407524161884627,0.020622446708498717,31
